Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"A phase 1a, first-in-human, randomized study of a respiratory syncytial virus F protein vaccine with and without a toll-like receptor-4 agonist and stable emulsion adjuvant","Falloon, J.; Ji, F.; Curtis, C.; Bart, S.; Sheldon, E.; Krieger, D.; Dubovsky, F.; Lambert, S.; Takas, T.; Villafana, T.; Esser, M. T.","BACKGROUND: Respiratory syncytial virus (RSV) causes significant illness in older adults resulting in substantial health and economic impact. A successful vaccine would reduce morbidity in this growing segment of the population. METHODS: In this double-blind phase 1 study, subjects 60 years of age and older were enrolled by cohort and randomized to receive vaccines containing escalating doses (20, 50, or 80Î¼g) of soluble RSV fusion protein (sF) alone or adjuvanted with 2.5Î¼g of glucopyranosyl lipid A, a toll-like receptor-4 agonist, in 2% stable emulsion (GLA-SE). Each cohort included 20 vaccine and 4 placebo recipients. Immune responses were evaluated using assays for RSV microneutralizing, anti-F IgG, and palivizumab competitive antibodies and for F-specific interferon (IFN)-Î³ enzyme-linked immunospot (ELISPOT) responses. RESULTS: The inclusion of adjuvant increased local reactogenicity, with the majority of subjects who received sF and adjuvant reporting low-grade injection site pain or tenderness. At all doses, the safety profile was acceptable for further development. Immune responses were antigen dose-dependent, and the inclusion of adjuvant increased both humoral and cellular immune responses, with responses statistically higher than for placebo recipients in all 4 assays. At the highest dosage level with adjuvant, half of the subjects had a â‰¥3-fold rise from day 0 in RSV neutralizing antibody titers, and all had a â‰¥3-fold rise in antibody levels by anti-F IgG and palivizumab competitive antibody assays on day 29. For the day 8 IFNÎ³ ELISPOT assay, 74% of subjects in the highest dosing cohort had a â‰¥3-fold rise from baseline. CONCLUSIONS: The safety and immunogenicity results from this study support inclusion of the GLA-SE adjuvant in this RSV vaccine for older adults and also support assessment of the efficacy of the vaccine in a larger clinical trial. Clinicaltrials.gov NCT02115815.",2016,May-27,Vaccine,34,25,2847-54,27102821,10.1016/j.vaccine.2016.04.002,,#327,Falloon 2016,,MedImmune; No NCT number; Possible RCT; adults; immunogenicity; protein based particle/subunit vaccine; vaccine
Dose Selection for an Adjuvanted Respiratory Syncytial Virus F Protein Vaccine for Older Adults Based on Humoral and Cellular Immune Responses,"Falloon, J.; Talbot, H. K.; Curtis, C.; Ervin, J.; Krieger, D.; Dubovsky, F.; Takas, T.; Yu, J.; Yu, L.; Lambert, S. L.; Villafana, T.; Esser, M. T.","This is the second phase 1 study of a respiratory syncytial virus (RSV) vaccine containing RSV fusion protein (sF) adjuvanted with glucopyranosyl lipid A (GLA) in a squalene-based 2% stable emulsion (GLA-SE). In this randomized, double-blind study, 261 subjects aged â‰¥60 years received inactivated influenza vaccine (IIV), a vaccine containing 120 Î¼g sF with escalating doses of GLA (1, 2.5, or 5 Î¼g) in SE, or a vaccine containing 80 Î¼g sF with 2.5 Î¼g GLA in SE. Subjects receiving 120 Î¼g sF with 2.5 or 5 Î¼g GLA were also randomized to receive IIV or placebo. Immunity to RSV was assessed by detection of microneutralizing, anti-F immunoglobulin G, and palivizumab-competitive antibodies and F-specific gamma interferon enzyme-linked immunosorbent spot assay T-cell responses. Higher adjuvant doses increased injection site discomfort, but at the highest dose, the reactogenicity was similar to that of IIV. Significant humoral and cellular immune responses were observed. The 120 Î¼g sF plus 5.0 Î¼g GLA formulation resulted in the highest responses in all subjects and in older subjects. These results confirm previous observations of vaccine tolerability, safety, and immunogenicity and were used to select the 120 Î¼g sF plus 5.0 Î¼g GLA formulation for phase 2 evaluation. (This study has been registered at ClinicalTrials.gov under registration no. NCT02289820.).",2017,Sep,Clin Vaccine Immunol,24,9,,28679495,10.1128/cvi.00157-17,,#328,Falloon 2017,Ainslie Hie (2025-02-03 16:31:51)(Included): extracted; ,MedImmune; NCT number; Possible RCT; immunogenicity; older adults; product not taken forward to phase 3; protein subunit
"An Adjuvanted, Postfusion F Protein-Based Vaccine Did Not Prevent Respiratory Syncytial Virus Illness in Older Adults","Falloon, J.; Yu, J.; Esser, M. T.; Villafana, T.; Yu, L.; Dubovsky, F.; Takas, T.; Levin, M. J.; Falsey, A. R.","BACKGROUND: Respiratory syncytial virus (RSV) is an important cause of illness in older adults. This study assessed efficacy of a vaccine for prevention of RSV-associated acute respiratory illness (ARI), defined by specified symptoms with virologic confirmation. METHODS: This phase 2b study evaluated RSV postfusion F protein (120 Âµg) with glucopyranosyl lipid adjuvant (5 Âµg) in 2% stable emulsion. Subjects aged â‰¥60 years were randomly assigned at a ratio of 1:1 to receive vaccine or placebo (all received inactivated influenza vaccine). Ill subjects recorded symptoms and provided blood and nasal swab samples. RESULTS: In the per-protocol population (n = 1894), the incidence of RSV-associated ARI occurring â‰¥14 days after dosing was 1.7% and 1.6% in the vaccine and placebo groups, respectively, for a vaccine efficacy (VE) of -7.1% (90% confidence interval [CI], -106.9%-44.3%). Efficacy was not observed in secondary analyses that included seroresponse to nonvaccine RSV antigens (VE, 8.9%; 90% CI, -28.5%-35.4%) or symptoms combined with seroresponse (VE, 10.0%; 90% CI, -45.4%-44.4%). On day 29, 92.9% of vaccinees had an anti-F immunoglobulin G antibody seroresponse. Overall, 48.5% and 30.9% of RSV vaccine recipients reported local and systemic solicited symptoms, respectively. CONCLUSION: The RSV vaccine was immunogenic but did not protect older adults from RSV illness. CLINICAL TRIALS REGISTRATION: NCT02508194.",2017,Dec-12,J Infect Dis,216,11,1362-1370,29029260,10.1093/infdis/jix503,,#329,Falloon 2017,Ainslie Hie (2025-01-29 11:14:25)(Included): extracted; ,MedImmune; NCT number; Possible RCT; efficacy/effectiveness; immunogenicity; older adults; product not taken forward to phase 3; protein subunit
"Long-term efficacy and immunogenicity of Ad26.RSV.preF-RSV preF protein vaccine (CYPRESS): a randomised, double-blind, placebo-controlled, phase 2b study","Falsey, A. R.; Hosman, T.; Bastian, A. R.; Vandenberghe, S.; Chan, E. K. H.; Douoguih, M.; Heijnen, E.; Comeaux, C. A.; Callendret, B.","BACKGROUND: Ad26.RSV.preF-RSV preF protein showed 80Â·0% vaccine efficacy against respiratory syncytial virus (RSV) lower respiratory tract disease (LRTD) in older adults during one RSV season. No RSV vaccines have shown three-season efficacy. We aimed to evaluate efficacy of Ad26.RSV.preF-RSV preF protein over three RSV seasons. METHODS: CYPRESS was a randomised, double-blind, placebo-controlled, phase 2b study done at 40 US clinical research centres wherein adults aged 65 years or older were centrally randomly assigned 1:1 by computer algorithm to receive Ad26.RSV.preF-RSV preF protein or placebo (one intramuscular injection) on day 1. Investigators, participants, site personnel, and the sponsor were masked to vaccine allocation, except for individuals involved in preparation of study vaccinations. The primary endpoint (first occurrence of RSV-mediated LRTD meeting one of three case definitions) was previously reported. Here, the predefined exploratory endpoint of vaccine efficacy against RSV-positive LRTD was assessed in the per-protocol efficacy set (all participants randomly assigned and vaccinated without protocol deviations affecting efficacy) through season 1 and from day 365 until the end of season 3. Humoral and cellular immunogenicity was assessed in a subset of randomly assigned and vaccinated participants. The secondary endpoint of safety through the first RSV season was previously reported; follow-up for selected safety outcomes (fatal adverse events, adverse events leading to study discontinuation, serious adverse events, and vaccine-related serious adverse events) until study completion is reported here in all randomly assigned and vaccinated participants. This trial is registered with ClinicalTrials.gov, NCT03982199 and is complete. FINDINGS: Of 6672 adults screened, 5782 participants (2891 each receiving vaccine or placebo) were enrolled and vaccinated between Aug 5 and Nov 13, 2019. The season 2 per-protocol efficacy set included 2124 vaccine recipients and 2126 placebo recipients (season 3: 864 and 881; across three seasons: 2795 and 2803, respectively). Vaccine efficacy against RSV LRTD was 76Â·1% (95% CI 26Â·9-94Â·2) over seasons 2 and 3 and 78Â·7% (57Â·3-90Â·4) across three seasons. For those in the immunogenicity subset (vaccine n=97; placebo n=98), immune responses remained above baseline for at least 1 year. Serious adverse events occurred in 47 (2Â·1%) and 12 (1Â·3%) vaccine recipients and 45 (2Â·1%) and 10 (1Â·1%) placebo recipients during seasons 2 and 3, respectively. No treatment-related serious or fatal adverse events were reported. INTERPRETATION: Ad26.RSV.preF-RSV preF protein maintained high efficacy against RSV LRTD in older adults across three RSV seasons. FUNDING: Janssen Vaccines & Prevention.",2024,May-24,Lancet Infect Dis,,,,38801826,10.1016/s1473-3099(24)00226-3,,#331,Falsey 2024,Ainslie Hie (2025-01-10 12:50:45)(Included): extracted; Yuna Chung (2025-01-06 16:26:28)(Included): Janssen Vaccines & Prevention; ,Janssen; NCT number; Possible RCT; combination vaccine; efficacy/effectiveness; formulation taken forward to phase 3; immunogenicity; older adults; product taken forward to phase 3
Safety and immunogenicity of a respiratory syncytial virus subunit vaccine (PFP-2) in ambulatory adults over age 60,"Falsey, A. R.; Walsh, E. E.","The safety and immunogenicity of purified fusion protein (PFP-2) respiratory syncytial virus (RSV) vaccine was evaluated in a randomized placebo-controlled, double-blind study of 64 healthy adults over age 60. Vaccination was well tolerated with no significant acute side-effects. Twenty-nine of 33 vaccinees (87%) showed a greater than or equal to fourfold rise in serum IgG to the F protein of RSV at 8 weeks post vaccination. Twenty of 33 vaccine recipients (61%) had a greater than or equal to fourfold rise in serum neutralizing titer to group A and/or group B RSV. Response to vaccination was inversely correlated with pre-immunization serum neutralizing titers. Active surveillance throughout the ensuring winter identified three RSV infections in the placebo group and none in the vaccine group. Thus, PFP-2 was found to be safe and immunogenic in healthy older adults.",1996,Sep,Vaccine,14,13,1214-8,8961507,10.1016/s0264-410x(96)00030-8,,#332,Falsey 1996,Yuna Chung (2025-01-06 16:28:43)(Included): Lederle Praxis Biologicals; ,Lederle Praxis Biologicals; No NCT number; Possible RCT; immunogenicity; older adults; protein based particle/subunit vaccine; vaccine
Safety and immunogenicity of a respiratory syncytial virus subunit vaccine (PFP-2) in the institutionalized elderly,"Falsey, A. R.; Walsh, E. E.","The safety and immunogenicity of purified fusion protein (PFP-2) respiratory syncytial virus (RSV) vaccine was evaluated in an open label study in 37 frail institutionalized persons over age 65. Vaccination was well tolerated without significant side-effects. Thirty-six of 37 volunteers completed the study. Nineteen of 36 (53%) vaccinees had a greater than or equal to fourfold increase in IgG to F protein at 4 weeks and 17 (47%) had a greater than or equal to fourfold rise in neutralizing titers to either group A or B virus. Although response rate to PFP-2 vaccine in the frail elderly was somewhat diminished compared to results in the healthy elderly, the vaccine was well tolerated and relatively immunogenic.",1997,Jul,Vaccine,15,10,1130-2,9269057,10.1016/s0264-410x(97)00002-9,,#333,Falsey 1997,,Lederle Praxis Biologicals; No NCT number; Possible RCT; immunogenicity; older adults; protein based particle/subunit vaccine; vaccine
Comparison of the safety and immunogenicity of 2 respiratory syncytial virus (rsv) vaccines--nonadjuvanted vaccine or vaccine adjuvanted with alum--given concomitantly with influenza vaccine to high-risk elderly individuals,"Falsey, A. R.; Walsh, E. E.; Capellan, J.; Gravenstein, S.; Zambon, M.; Yau, E.; Gorse, G. J.; Edelman, R.; Hayden, F. G.; McElhaney, J. E.; Neuzil, K. M.; Nichol, K. L.; SimÃµes, E. A.; Wright, P. F.; Sales, V. M.","BACKGROUND: Respiratory syncytial virus (RSV) has been recognized recently as an important adult pathogen. METHODS: This randomized, double-blind, placebo-controlled study was designed to compare humoral responses to licensed trivalent influenza vaccine given concomitantly with 1 of 2 RSV vaccine formulations in persons > or =65 years old with cardiopulmonary disease. Hemagglutinin-inhibition assays and neutralization assays were used to measure levels of antibody to influenza and RSV, respectively. Subjects with respiratory illnesses during subsequent winters were tested for RSV and influenza by reverse-transcriptase polymerase chain reaction and serologic analysis. RESULTS: Neither RSV vaccine formulation had an effect on the humoral response to influenza vaccination, and both RSV vaccines were well tolerated by 1169 participants. The immunogenicity of the nonadjuvanted vaccine was judged superior on the basis of mean postvaccination neutralizing antibody titers (12.5 vs. 12.1) and the percentage of subjects for whom > or =4-fold increases in neutralizing titer were observed when acute-phase and convalescent-phase serum samples were compared (168 [44%] of 383 vs. 129 [33%] of 400). In year 1, the percentage of illnesses due to RSV was 7% (36 of 492 illnesses) and that due to influenza was 8% (40 of 492), compared with 6% (11 of 189) due to RSV and 11% (20 of 189) due to influenza in year 2. The incidence of RSV infection was not significantly different in the RSV vaccine and placebo groups. CONCLUSIONS: Although the safety and immunogenicity data of these RSV vaccines are encouraging, low rates of infection make it challenging to design efficacy trials.",2008,Nov-01,J Infect Dis,198,9,1317-26,18855558,10.1086/592168,,#334,Falsey 2008,,No NCT number; Possible RCT; Sanofi; efficacy/effectiveness; immunogenicity; older adults; protein based particle/subunit vaccine; vaccine
"Phase 1/2 Randomized Study of the Immunogenicity, Safety, and Tolerability of a Respiratory Syncytial Virus Prefusion F Vaccine in Adults With Concomitant Inactivated Influenza Vaccine","Falsey, A. R.; Walsh, E. E.; Scott, D. A.; Gurtman, A.; Zareba, A.; Jansen, K. U.; Gruber, W. C.; Dormitzer, P. R.; Swanson, K. A.; Jiang, Q.; Gomme, E.; Cooper, D.; Schmoele-Thoma, B.","BACKGROUND: Respiratory syncytial virus (RSV) causes substantial morbidity and mortality in older adults and adults with comorbidities. An effective vaccine is needed. An investigational bivalent prefusion F vaccine (RSVpreF) was assessed in healthy adults. METHODS: This phase 1/2 study randomized adults 18-85 years old to receive placebo or 60, 120, or 240 Âµg RSVpreF (with or without aluminum hydroxide) alone or concomitantly with seasonal inactivated influenza vaccine (SIIV). Safety and immunogenicity were assessed. RESULTS: In older adults, reactogenicity events were predominantly mild or moderate among RSVpreF recipients; adverse events through 1 month postvaccination were similar across formulations. Coadministration with SIIV did not appear to affect safety among younger or older adults. All RSVpreF formulations with or without concomitant SIIV elicited robust RSV serum-neutralizing responses in adults aged 50-85 years 1 month postvaccination. Neutralizing titers 1 and 12 months postvaccination were 6.9-14.9 and 2.9-4.5 times, respectively, those before vaccination. SIIV immune responses trended lower when coadministered with RSVpreF. CONCLUSIONS: RSVpreF formulations administered alone or with SIIV were well tolerated and highly immunogenic in older adults, supporting the potential for RSVpreF to protect older adults from RSV disease. CLINICAL TRIALS REGISTRATION: NCT03529773.",2022,Jun-15,J Infect Dis,225,12,2056-2066,34931667,10.1093/infdis/jiab611,,#336,Falsey 2022,Ainslie Hie (2025-01-10 12:52:34)(Included): extracted; ,NCT number; Pfizer; Possible RCT; formulation taken forward to phase 3; general adults; immunogenicity; older adults; product taken forward to phase 3; protein subunit
Efficacy and Safety of an Ad26.RSV.preF-RSV preF Protein Vaccine in Older Adults,"Falsey, A. R.; Williams, K.; Gymnopoulou, E.; Bart, S.; Ervin, J.; Bastian, A. R.; Menten, J.; De Paepe, E.; Vandenberghe, S.; Chan, E. K. H.; Sadoff, J.; Douoguih, M.; Callendret, B.; Comeaux, C. A.; Heijnen, E.","BACKGROUND: Respiratory syncytial virus (RSV) can cause serious lower respiratory tract disease in older adults, but no licensed RSV vaccine currently exists. An adenovirus serotype 26 RSV vector encoding a prefusion F (preF) protein (Ad26.RSV.preF) in combination with RSV preF protein was previously shown to elicit humoral and cellular immunogenicity. METHODS: We conducted a randomized, double-blind, placebo-controlled, phase 2b, proof-of-concept trial to evaluate the efficacy, immunogenicity, and safety of an Ad26.RSV.preF-RSV preF protein vaccine. Adults who were 65 years of age or older were randomly assigned in a 1:1 ratio to receive vaccine or placebo. The primary end point was the first occurrence of RSV-mediated lower respiratory tract disease that met one of three case definitions: three or more symptoms of lower respiratory tract infection (definition 1), two or more symptoms of lower respiratory tract infection (definition 2), and either two or more symptoms of lower respiratory tract infection or one or more symptoms of lower respiratory tract infection plus at least one systemic symptom (definition 3). RESULTS: Overall, 5782 participants were enrolled and received an injection. RSV-mediated lower respiratory tract disease meeting case definitions 1, 2, and 3 occurred in 6, 10, and 13 vaccine recipients and in 30, 40, and 43 placebo recipients, respectively. Vaccine efficacy was 80.0% (94.2% confidence interval [CI], 52.2 to 92.9), 75.0% (94.2% CI, 50.1 to 88.5), and 69.8% (94.2% CI, 43.7 to 84.7) for case definitions 1, 2, and 3, respectively. After vaccination, RSV A2 neutralizing antibody titers increased by a factor of 12.1 from baseline to day 15, a finding consistent with other immunogenicity measures. Percentages of participants with solicited local and systemic adverse events were higher in the vaccine group than in the placebo group (local, 37.9% vs. 8.4%; systemic, 41.4% vs. 16.4%); most adverse events were mild to moderate in severity. The frequency of serious adverse events was similar in the vaccine group and the placebo group (4.6% and 4.7%, respectively). CONCLUSIONS: In adults 65 years of age or older, Ad26.RSV.preF-RSV preF protein vaccine was immunogenic and prevented RSV-mediated lower respiratory tract disease. (Funded by Janssen Vaccines and Prevention; CYPRESS ClinicalTrials.gov number, NCT03982199.).",2023,Feb-16,N Engl J Med,388,7,609-620,36791161,10.1056/NEJMoa2207566,,#337,Falsey 2023,Ainslie Hie (2025-01-14 10:25:57)(Included): extracted; Ainslie Hie (2025-01-08 15:07:26)(Included): Data from this paper have been subsequently reported in Falsey 2024. I also extracted this data from Falsey 2024 - I will need to put that data with the data from this paper.; ,Janssen; NCT number; Possible RCT; combination vaccine; efficacy/effectiveness; formulation taken forward to phase 3; immunogenicity; older adults; product taken forward to phase 3
Respiratory Syncytial Virus Prefusion F Protein Vaccine Is Efficacious in Older Adults With Underlying Medical Conditions,"Feldman, R. G.; Antonelli-Incalzi, R.; Steenackers, K.; Lee, D. G.; Papi, A.; Ison, M. G.; Fissette, L.; David, M. P.; MarÃ©chal, C.; Van der Wielen, M.; Kostanyan, L.; HulstrÃ¸m, V.","BACKGROUND: Older adults with chronic cardiorespiratory or endocrine/metabolic conditions are at increased risk of respiratory syncytial virus (RSV)-related acute respiratory illness (RSV-ARI) and severe respiratory disease. In an ongoing, randomized, placebo-controlled, multicountry, phase 3 trial in â‰¥60-year-old participants, an AS01E-adjuvanted RSV prefusion F protein-based vaccine (RSVPreF3 OA) was efficacious against RSV-related lower respiratory tract disease (RSV-LRTD), severe RSV-LRTD, and RSV-ARI. We evaluated efficacy and immunogenicity among participants with coexisting cardiorespiratory or endocrine/metabolic conditions that increase the risk of severe RSV disease (""conditions of interest""). METHODS: Medically stable â‰¥60-year-old participants received 1 dose of RSVPreF3 OA or placebo. Efficacy against first RSV-LRTD and RSV-ARI episodes was assessed in subgroups with/without coexisting cardiorespiratory or endocrine/metabolic conditions of interest. Immunogenicity was analyzed post hoc in these subgroups. RESULTS: In total, 12 467 participants received RSVPreF3 OA and 12 499 received placebo. Of these, 39.6% (RSVPreF3 OA) and 38.9% (placebo) had â‰¥1 coexisting condition of interest. The median efficacy follow-up was 6.7 months. Efficacy against RSV-LRTD was high in participants with â‰¥1 condition of interest (94.6%), â‰¥1 cardiorespiratory (92.1%), â‰¥1 endocrine/metabolic (100%), and â‰¥2 conditions of interest (92.0%). Efficacy against RSV-ARI was 81.0% in participants with â‰¥1 condition of interest (88.1% for cardiorespiratory, 79.4% for endocrine/metabolic conditions) and 88.0% in participants with â‰¥2 conditions of interest. Postvaccination neutralizing titers were at least as high in participants with â‰¥1 condition of interest as in those without. CONCLUSIONS: RSVPreF3 OA was efficacious against RSV-LRTD and RSV-ARI in older adults with coexisting medical conditions associated with an increased risk of severe RSV disease. CLINICAL TRIALS REGISTRATION: ClinicalTrials.gov: NCT04886596.",2024,Jan-25,Clin Infect Dis,78,1,202-209,37698366,10.1093/cid/ciad471,,#342,Feldman 2024,"Ainslie Hie (2025-03-17 16:33:00)(Included): Data are from the same cohort as VAX50, except stratified by condition of interest or no condition of interest, so exclude.; Ainslie Hie (2025-01-17 19:01:58)(Included): extracted; ",GSK; NCT number; Possible RCT; efficacy/effectiveness; formulation taken forward to phase 3; immunogenicity; older adults; product taken forward to phase 3; protein subunit
Lot-to-lot immunogenicity consistency of the respiratory syncytial virus prefusion F protein vaccine in older adults,"Ferguson, M.; Murray, A.; Pliamm, L.; Rombo, L.; Sanmartin Berglund, J.; David, M. P.; De Schrevel, N.; Maschino, F.; Kotb, S.; Olivier, A.; HulstrÃ¸m, V.","BACKGROUND: Previous phase 3 studies showed that the AS01(E)-adjuvanted respiratory syncytial virus (RSV) prefusion F protein-based vaccine for older adults (RSVPreF3 OA) is well tolerated and efficacious in preventing RSV-associated lower respiratory tract disease in adultsÂ â‰¥Â 60Â years of age. This study evaluated lot-to-lot immunogenicity consistency, reactogenicity, and safety of three RSVPreF3 OA lots. METHODS: This phase 3, multicenter, double-blind study randomized (1:1:1) participantsÂ â‰¥Â 60Â years of age to receive one of three RSVPreF3 OA lots. Serum RSVPreF3-binding immunoglobulin G (IgG) concentration was assessed at baseline and 30Â days post-vaccination. Lot-to-lot consistency was demonstrated if the two-sided 95Â % confidence intervals (CIs) of the RSVPreF3-binding IgG geometric mean concentration (GMC) ratios between each lot pair at 30Â days post-vaccination were within 0.67 and 1.50. Solicited adverse events (AEs) within four days, unsolicited AEs within 30Â days, and serious AEs (SAEs) and potential immune-mediated diseases within six months post-vaccination were recorded. RESULTS: A total of 757 participants received RSVPreF3 OA, of whom 708 were included in the per-protocol set (234, 237, and 237 participants for each lot). Lot-to-lot consistency was demonstrated: GMC ratios were 1.06 (95Â % CI: 0.94-1.21), 0.92 (0.81-1.04), and 0.87 (0.77-0.99) between the lot pairs (lot 1/2; 1/3; 2/3). For the three lots, the RSVPreF3-binding IgG concentration increased 11.84-, 11.29-, and 12.46-fold post-vaccination compared to baseline. The reporting rates of solicited and unsolicited AEs, SAEs, and potential immune-mediated diseases were balanced between lots. Twenty-one participants reported SAEs; one of these-a case of atrial fibrillation-was considered by the investigator as vaccine-related. SAEs with a fatal outcome were reported for four participants, none of which were considered by the investigator as vaccine-related. CONCLUSION: This study demonstrated lot-to-lot immunogenicity consistency of three RSVPreF3 OA vaccine lots and indicated that the vaccine had an acceptable safety profile.ClinicalTrials.gov: NCT05059301.",2024,Jun,Vaccine X,18,,100494,38746060,10.1016/j.jvacx.2024.100494,,#347,Ferguson 2024,,GSK; NCT number; Possible RCT; formulation taken forward to phase 3; immunogenicity; older adults; product taken forward to phase 3; protein subunit
Immunogenicity and safety of a respiratory syncytial virus fusion protein (RSV F) nanoparticle vaccine in older adults,"Fries, L.; Shinde, V.; Stoddard, J. J.; Thomas, D. N.; Kpamegan, E.; Lu, H.; Smith, G.; Hickman, S. P.; Piedra, P.; Glenn, G. M.","BACKGROUND: A preventative strategy for Respiratory Syncytial Virus (RSV) infection constitutes an under-recognized unmet medical need among older adults. Four formulations of a novel recombinant RSV F nanoparticle vaccine (60 or 90Â Î¼g RSV F protein, with or without aluminum phosphate adjuvant) administered concurrently with a licensed inactivated trivalent influenza vaccine (TIV) in older adult subjects were evaluated for safety and immunogenicity in this randomized, observer-blinded study. RESULTS: A total of 220 healthy males and femalesâ€‰â‰¥â€‰60Â years of age, without symptomatic cardiopulmonary disease, were vaccinated concurrently with TIV and RSV F vaccine or placebo. All vaccine formulations produced an acceptable safety profile, with no vaccine-related serious adverse events or evidence of systemic toxicity. Vaccine-induced immune responses were rapid, rising as early as 7Â days post-vaccination; and were comparable in all formulations in terms of magnitude, with maximal levels attained within 28 (unadjuvanted) or 56 (adjuvanted) days post-vaccination. Peak anti-F protein IgG antibody levels rose 3.6- to 5.6-fold, with an adjuvant effect observed at the 60Â Î¼g dose, and a dose-effect observed between the unadjuvanted 60 and 90Â Î¼g regimens. The anti-F response persisted through 12Â months post-vaccination. Palivizumab-competitive antibodies were below quantifiable levels (<33Â Î¼g/mL) at day 0. The rise of antibodies with specificity for Site II peptide, and the palivizumab-competitive binding activity, denoting antibodies binding at, or in proximity to, antigenic Site II on the F protein, closely paralleled the anti-F response. However, a larger proportion of antibodies in adjuvanted vaccine recipients bound to the Site II peptide at high avidity. Day 0 neutralizing antibodies were high in all subjects and rose 1.3- to 1.7-fold in response to vaccination. Importantly, the RSV F vaccine co-administered with TIV did not impact the serum hemagglutination inhibition antibody responses to a standard-dose TIV, and TIV did not impact the immune response to the RSV F vaccine. CONCLUSIONS: RSV F protein nanoparticle vaccine induced increases in measures of functional immunity to RSV in older adults and demonstrated an acceptable safety profile. Adjuvanted formulations provided additional immunogenicity benefit as compared to increasing antigen dose alone. This trial was registered with ClinicalTrials.gov number NCT01709019.",2017,,Immun Ageing,14,,8,28413427,10.1186/s12979-017-0090-7,,#373,Fries 2017,,NCT number; Novavax; Possible RCT; immunogenicity; older adults; product taken forward to phase 3; protein subunit
Respiratory virus immunization. I. A field trial of two inactivated respiratory virus vaccines; an aqueous trivalent parainfluenza virus vaccine and an alum-precipitated respiratory syncytial virus vaccine,"Fulginiti, V. A.; Eller, J. J.; Sieber, O. F.; Joyner, J. W.; Minamitani, M.; Meiklejohn, G.",,1969,Apr,Am J Epidemiol,89,4,435-48,4305199,10.1093/oxfordjournals.aje.a120956,,#378,Fulginiti 1969,,No NCT number; Pfizer; efficacy/effectiveness; formalin inactivated; immunogenicity; infants/children; vaccine
"A Randomized, Blinded, Controlled, Dose-Ranging Study of a Respiratory Syncytial Virus Recombinant Fusion (F) Nanoparticle Vaccine in Healthy Women of Childbearing Age","Glenn, G. M.; Fries, L. F.; Thomas, D. N.; Smith, G.; Kpamegan, E.; Lu, H.; Flyer, D.; Jani, D.; Hickman, S. P.; Piedra, P. A.","BACKGROUND: Respiratory syncytial virus (RSV) is a leading cause of infant morbidity and mortality. A recombinant RSV fusion protein nanoparticle vaccine (RSV F vaccine) candidate for maternal immunization was tested for safety and immunogenicity in women of childbearing age. METHODS: Three hundred thirty women (18-35 years) were randomized to receive 1 or 2 doses of RSV F vaccine (60 or 90 Âµg) with or without aluminum phosphate adjuvant, or placebo at days 0 and 28. Safety was evaluated over 180 days; immunogenicity and RSV infection rates were evaluated over 112 days. RESULTS: All vaccine formulations were well tolerated, without vaccine-related serious adverse events. Anti-F immunoglobulin G antibodies rose 6.5-15.6-fold, with significantly higher levels in 2-dose, adjuvanted regimens at day 56. Palivizumab-competitive antibody levels were undetectable at day 0 but increased up to 325 Âµg/mL at day 56. A 2.7- and 3.5-fold rise in RSV/A and RSV/B microneutralization antibodies were noted at day 56. Between days 56 and 112, 21% (12/56) of placebo recipients and 11% of vaccinees (26/244) showed evidence of a recent RSV infection (P = .04). CONCLUSIONS: The vaccine appeared safe, immunogenic, and reduced RSV infections. Further development as a vaccine for use in maternal immunization is warranted. CLINICAL TRIALS REGISTRATION: NCT01704365.",2016,Feb-01,J Infect Dis,213,3,411-22,26259809,10.1093/infdis/jiv406,,#422,Glenn 2016,,NCT number; Novavax; Possible RCT; females only; general adults; immunogenicity; product taken forward to phase 3; protein subunit
